4;7;10;13;17;20;25;30;35;40;45;50;55;60;70;80;90;100;120
0.6;0.7;0.75;0.95;1.5;1.20;1.50;1.85;2.10;2.30;2.40;2.75;3.00;3.10;3.45;3.90;4.45;4.90;5.30
