1;2;6.0;0.0
1;3;10.0;0.0
3;4;4.0;0.0
4;5;2.0;0.0
5;6;3.0;0.0
1;7;7.0;0.0
7;8;4.0;0.0
8;9;4.0;0.0
9;10;5.0;0.0
10;11;2.0;0.0
9;12;5.0;0.0
7;14;6.0;0.0
12;14;5.0;0.0
12;13;5.0;0.0
13;17;11.0;0.0
14;15;3.0;0.0
15;16;3.0;0.0
16;17;11.0;0.0
15;18;6.0;0.0
18;19;3.0;0.0
18;20;4.0;0.0
18;21;8.0;0.0
21;22;9.0;0.0
1;23;8.0;0.0
23;24;2.0;0.0
24;25;1.0;0.0
23;26;2.0;0.0
26;27;3.0;0.0
27;33;5.0;0.0
33;34;10.0;0.0
27;28;5.0;0.0
28;31;3.0;0.0
31;32;9.0;0.0
28;29;3.0;0.0
28;30;3.0;0.0
1;35;8.0;0.0
35;36;3.0;0.0
36;37;3.0;0.0
37;38;2.0;0.0
37;39;2.0;0.0
37;40;2.0;0.0
40;41;2.0;0.0
35;42;6.0;0.0
42;43;5.0;0.0
42;44;7.0;0.0
44;45;7.0;0.0
45;46;8.0;0.0
35;47;7.0;0.0
47;48;4.0;0.0
48;49;2.0;0.0
23;50;5.0;0.0
3;51;3.0;0.0
